N,P,K,label
90,42,43,rice
85,58,41,rice
60,55,44,rice
74,35,40,rice
78,42,42,rice
69,37,42,rice
69,55,38,rice
94,53,40,rice
89,54,38,rice
68,58,38,rice
91,53,40,rice
90,46,42,rice
78,58,44,rice
93,56,36,rice
94,50,37,rice
60,48,39,rice
85,38,41,rice
91,35,39,rice
77,38,36,rice
88,35,40,rice
89,45,36,rice
76,40,43,rice
67,59,41,rice
83,41,43,rice
98,47,37,rice
66,53,41,rice
97,59,43,rice
97,50,41,rice
60,49,44,rice
84,51,35,rice
73,57,41,rice
92,35,40,rice
85,37,39,rice
98,53,38,rice
88,54,44,rice
95,55,42,rice
99,57,35,rice
95,39,36,rice
60,43,44,rice
63,44,41,rice
62,42,36,rice
64,45,43,rice
83,60,36,rice
82,40,40,rice
85,52,45,rice
91,35,38,rice
76,49,42,rice
74,39,38,rice
79,43,39,rice
88,55,45,rice
60,36,43,rice
76,60,39,rice
93,56,42,rice
65,60,43,rice
95,52,36,rice
75,38,39,rice
74,54,38,rice
91,36,45,rice
71,46,40,rice
99,55,35,rice
72,40,38,rice
83,58,45,rice
93,58,38,rice
70,36,42,rice
76,47,42,rice
99,41,36,rice
99,54,37,rice
86,59,35,rice
69,46,41,rice
91,56,37,rice
61,52,41,rice
67,45,38,rice
79,42,37,rice
78,43,42,rice
75,54,36,rice
97,36,45,rice
67,47,44,rice
73,35,38,rice
77,36,37,rice
81,41,38,rice
68,57,43,rice
72,45,35,rice
61,53,43,rice
67,43,39,rice
67,58,39,rice
66,60,38,rice
82,43,38,rice
84,50,44,rice
81,53,42,rice
91,50,40,rice
93,53,38,rice
90,44,38,rice
81,45,35,rice
78,40,38,rice
60,51,36,rice
88,46,42,rice
93,47,37,rice
60,55,45,rice
78,35,44,rice
65,37,40,rice
71,54,16,corn
61,44,17,corn
80,43,16,corn
73,58,21,corn
61,38,20,corn
68,41,16,corn
93,41,17,corn
89,60,19,corn
76,44,17,corn
67,60,25,corn
70,44,19,corn
90,49,21,corn
62,52,16,corn
92,44,16,corn
66,54,21,corn
63,58,22,corn
70,47,17,corn
61,41,17,corn
66,53,19,corn
74,55,19,corn
77,57,21,corn
99,50,15,corn
74,56,22,corn
83,45,21,corn
100,48,16,corn
79,51,16,corn
94,39,18,corn
75,49,15,corn
78,48,22,corn
87,54,20,corn
87,35,25,corn
63,43,19,corn
84,57,25,corn
64,35,23,corn
60,46,22,corn
98,44,21,corn
75,56,18,corn
86,55,21,corn
98,35,18,corn
76,57,18,corn
99,56,17,corn
60,44,23,corn
74,48,17,corn
89,60,17,corn
69,51,23,corn
96,46,22,corn
61,60,15,corn
74,58,18,corn
74,43,23,corn
63,43,17,corn
99,36,20,corn
77,36,23,corn
87,60,23,corn
60,38,17,corn
94,54,17,corn
95,38,22,corn
84,44,21,corn
77,58,19,corn
66,44,20,corn
63,35,16,corn
79,45,20,corn
72,60,25,corn
67,51,24,corn
86,36,24,corn
76,48,18,corn
75,53,18,corn
81,45,23,corn
73,45,21,corn
71,35,24,corn
96,54,22,corn
99,39,18,corn
62,48,20,corn
86,37,16,corn
94,50,19,corn
76,39,24,corn
77,52,17,corn
74,39,23,corn
81,49,20,corn
63,42,21,corn
99,38,21,corn
90,52,25,corn
68,40,19,corn
60,57,24,corn
71,52,18,corn
61,59,17,corn
88,38,15,corn
65,60,22,corn
78,37,22,corn
78,58,15,corn
92,60,23,corn
79,59,17,corn
91,55,15,corn
76,51,18,corn
87,48,25,corn
71,60,22,corn
90,57,24,corn
67,35,22,corn
60,54,19,corn
83,58,23,corn
83,57,19,corn
40,72,77,soybeans
23,72,84,soybeans
39,58,85,soybeans
22,72,85,soybeans
36,67,77,soybeans
32,73,81,soybeans
58,70,84,soybeans
59,70,84,soybeans
42,62,75,soybeans
28,74,81,soybeans
58,66,79,soybeans
43,66,79,soybeans
58,63,81,soybeans
23,62,85,soybeans
27,62,77,soybeans
28,72,84,soybeans
50,56,76,soybeans
39,71,84,soybeans
25,78,76,soybeans
31,70,77,soybeans
26,80,83,soybeans
25,68,77,soybeans
31,78,76,soybeans
60,68,83,soybeans
59,62,83,soybeans
22,67,78,soybeans
36,65,80,soybeans
59,60,84,soybeans
54,77,85,soybeans
